ID,hash,author,date,commit_message,is_merge,lines_changed,insertions,deletions,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,radon_LOC,radon_LLOC,radon_SLOC,radon_comments,radon_avg_cc,radon_avg_MI,radon_avg_vocabulary,radon_avg_length,radon_avg_volume,radon_avg_difficulty,radon_avg_effort,radon_avg_time,radon_avg_bugs
0,c6f8c796c41df8832a3d4a63af6dba9b9c253ff0,Nigel Small,2018-04-23 16:12:21+00:00,First commit,False,1692,1692,0,0.8946772366930917,0.8901472253680635,0.8844847112117781,1595,991,1015,148,1.6304347826086956,65.93586434013747,66.25,125.5,922.7048268799732,4.140983226563538,8446.519402067048,469.2510778926138,0.30756827562665773
1,7d7c86b87c04e16124630e7c7619ca22597c968d,Nigel Small,2018-04-23 17:28:04+00:00,Duration operations,False,29,20,9,0.0,0.0,0.0,1586,985,1009,148,1.6408839779005524,66.01900858541234,66.25,125.5,922.7048268799732,4.140983226563538,8446.519402067048,469.2510778926138,0.30756827562665773
2,d3d6d99bab24e51281d205008e1a80d384b1b565,Nigel Small,2018-04-23 19:39:10+00:00,Future division,False,8,8,0,,,,1594,989,1013,148,1.6408839779005524,66.07961835572334,66.25,125.5,922.7048268799732,4.140983226563538,8446.519402067048,469.2510778926138,0.30756827562665773
3,2974567480909456e5146ed2350cdec57f87483b,Nigel Small,2018-04-23 21:09:42+00:00,Round half to even,False,44,38,6,1.0,1.0,1.0,1627,999,1022,148,1.6538461538461537,65.5527715814338,68.125,128.875,946.9638330981976,4.317812494856221,8723.844670094095,484.6580372274498,0.3156546110327325
4,a9a99153eb68abd90dc98e35fbf419a71e842709,Nigel Small,2018-04-23 22:54:50+00:00,Updated clocks,False,130,94,36,1.0,1.0,1.0,1685,1046,1069,148,1.6734693877551021,64.24858324910039,68.5,129.625,952.1534810709469,4.303244825683289,8758.618122640968,486.58989570227607,0.3173844936903156
5,a5579d957716758c180c0ef1407ac497a64d4a66,Nigel Small,2018-04-23 23:43:18+00:00,Added docs dir,False,238,238,0,,,,1847,1065,1116,235,1.6734693877551021,68.22096288808923,60.888888888888886,115.22222222222223,846.3586498408417,3.825106511718479,7785.438331236416,432.5243517353565,0.2821195499469472
6,c08a2332aa036e492fa4ef1c4dd60e6bcc5a01b4,Nigel Small,2018-04-24 08:24:57+00:00,Updated docs,False,318,184,134,1.0,1.0,1.0,1836,1062,1113,229,1.6479591836734695,68.2964042409594,60.22222222222222,113.77777777777777,832.7482407626292,3.825553645541358,7630.789047304845,423.93272485026915,0.2775827469208764
7,e50a9ebbce22069253bf4d4aa992d90c548de089,Nigel Small,2018-04-24 10:49:43+00:00,More docs,False,201,148,53,0.7777777777777778,0.0,1.0,1851,1074,1125,229,1.6515151515151516,68.16830257769546,61.22222222222222,115.11111111111111,846.3949933098261,3.8900912467943254,8076.959640418435,448.71998002324636,0.2821316644366087
8,ac04d41d38f077d0b6918373ba7b79500d478982,Nigel Small,2018-04-24 12:16:58+00:00,Time docs,False,766,465,301,1.0,1.0,0.8392857142857143,1976,1150,1200,240,1.6363636363636365,69.7543501516194,51.36363636363637,96.9090909090909,692.735508576634,3.3983273072544407,6540.697031712968,363.3720573173871,0.23091183619221134
9,72c67f6b61d7b9a1a861cda69a3a9563dfd2afff,Nigel Small,2018-04-24 12:23:19+00:00,Beta 1,False,31,14,17,,,,1974,1150,1198,240,1.6363636363636365,69.7543501516194,51.36363636363637,96.9090909090909,692.735508576634,3.3983273072544407,6540.697031712968,363.3720573173871,0.23091183619221134
10,3f66ad0c36259d1f06e0e7fed3416b19a484b778,Nigel Small,2018-04-24 12:29:10+00:00,Fixed trove qualifier,False,2,1,1,,,,1974,1150,1198,240,1.6363636363636365,69.7543501516194,51.36363636363637,96.9090909090909,692.735508576634,3.3983273072544407,6540.697031712968,363.3720573173871,0.23091183619221134
11,c6d313280a156b6b638a3b2ae41e1f0958774964,Nigel Small,2018-04-24 15:45:02+00:00,DateTime,False,198,179,19,1.0,1.0,0.6545454545454545,2077,1228,1276,240,1.5964912280701755,69.19853618622652,51.90909090909091,100.63636363636364,724.8679967008512,3.4450706612343582,7166.804607690865,398.1558115383814,0.24162266556695042
12,ac0beac19518daf644455597bffb9d1d3a366f78,Nigel Small,2018-04-26 22:38:03+00:00,Much changes,False,761,462,299,1.0,0.9354838709677419,1.0,2240,1326,1380,261,1.6431535269709543,71.299158167734,58.25,109.66666666666667,837.4468902268277,3.3568098533923663,9477.281068754133,526.5156149307852,0.27914896340894263
13,21247de3044eba7b68daa056c8a9896c779028a1,Nigel Small,2018-04-27 15:43:36+00:00,DateTime methods and basic pytz integration,False,393,280,113,1.0,0.8125,0.9375,2407,1437,1495,267,1.5719557195571956,70.04917638654281,59.083333333333336,109.16666666666667,835.0799730699292,3.384812971454119,9250.455435061864,513.9141908367702,0.27835999102330977
14,8b94d5835079c750de60f77f41c900059f883e80,Nigel Small,2018-04-27 15:49:12+00:00,DateTime no longer extends Time,False,50,25,25,,,,2407,1437,1495,267,1.5719557195571956,70.04917638654281,59.083333333333336,109.16666666666667,835.0799730699292,3.384812971454119,9250.455435061864,513.9141908367702,0.27835999102330977
15,933f63b03f138f3ea98f59299f9d13b6324a9af1,Nigel Small,2018-04-27 21:50:08+00:00,A few DateTime tests,False,73,66,7,1.0,1.0,1.0,2466,1486,1544,265,1.5607142857142857,68.4939412631475,59.416666666666664,109.58333333333333,838.2871436708905,3.4252296996941074,9278.135959459201,515.4519977477333,0.2794290478902968
16,50defb5266840cfd69636a1c2a56a30ec1e38582,Nigel Small,2018-04-27 21:50:24+00:00,Beta 2,False,2,1,1,,,,2466,1486,1544,265,1.5607142857142857,68.4939412631475,59.416666666666664,109.58333333333333,838.2871436708905,3.4252296996941074,9278.135959459201,515.4519977477333,0.2794290478902968
